============================================================
JMdict Multilingual Import
============================================================
Source: data/JMdict_e
Target: data/dictionary_full_multilingual.sqlite

Creating database: data/dictionary_full_multilingual.sqlite
Parsing XML: data/JMdict_e
Imported 1000 entries, 1730 senses (CN-simp: 0, CN-trad: 0)...
Imported 2000 entries, 2995 senses (CN-simp: 0, CN-trad: 0)...
Imported 3000 entries, 4140 senses (CN-simp: 0, CN-trad: 0)...
Imported 4000 entries, 5358 senses (CN-simp: 0, CN-trad: 0)...
Imported 5000 entries, 6501 senses (CN-simp: 0, CN-trad: 0)...
Imported 6000 entries, 7662 senses (CN-simp: 0, CN-trad: 0)...
Imported 7000 entries, 8964 senses (CN-simp: 0, CN-trad: 0)...
Imported 8000 entries, 10127 senses (CN-simp: 0, CN-trad: 0)...
Imported 9000 entries, 11338 senses (CN-simp: 0, CN-trad: 0)...
Imported 10000 entries, 12532 senses (CN-simp: 0, CN-trad: 0)...
Imported 11000 entries, 13727 senses (CN-simp: 0, CN-trad: 0)...
Imported 12000 entries, 14934 senses (CN-simp: 0, CN-trad: 0)...
Imported 13000 entries, 16115 senses (CN-simp: 0, CN-trad: 0)...
Imported 14000 entries, 17440 senses (CN-simp: 0, CN-trad: 0)...
Imported 15000 entries, 18820 senses (CN-simp: 0, CN-trad: 0)...
Imported 16000 entries, 20154 senses (CN-simp: 0, CN-trad: 0)...
Imported 17000 entries, 21461 senses (CN-simp: 0, CN-trad: 0)...
Imported 18000 entries, 22729 senses (CN-simp: 0, CN-trad: 0)...
Imported 19000 entries, 24114 senses (CN-simp: 0, CN-trad: 0)...
Imported 20000 entries, 25440 senses (CN-simp: 0, CN-trad: 0)...
Imported 21000 entries, 26735 senses (CN-simp: 0, CN-trad: 0)...
Imported 22000 entries, 27984 senses (CN-simp: 0, CN-trad: 0)...
Imported 23000 entries, 29312 senses (CN-simp: 0, CN-trad: 0)...
Imported 24000 entries, 30654 senses (CN-simp: 0, CN-trad: 0)...
Imported 25000 entries, 31963 senses (CN-simp: 0, CN-trad: 0)...
Imported 26000 entries, 33238 senses (CN-simp: 0, CN-trad: 0)...
Imported 27000 entries, 34548 senses (CN-simp: 0, CN-trad: 0)...
Imported 28000 entries, 35847 senses (CN-simp: 0, CN-trad: 0)...
Imported 29000 entries, 37143 senses (CN-simp: 0, CN-trad: 0)...
Imported 30000 entries, 38413 senses (CN-simp: 0, CN-trad: 0)...
Imported 31000 entries, 39769 senses (CN-simp: 0, CN-trad: 0)...
Imported 32000 entries, 41113 senses (CN-simp: 0, CN-trad: 0)...
Imported 33000 entries, 42528 senses (CN-simp: 0, CN-trad: 0)...
Imported 34000 entries, 43900 senses (CN-simp: 0, CN-trad: 0)...
Imported 35000 entries, 45197 senses (CN-simp: 0, CN-trad: 0)...
Imported 36000 entries, 46624 senses (CN-simp: 0, CN-trad: 0)...
Imported 37000 entries, 47921 senses (CN-simp: 0, CN-trad: 0)...
Imported 38000 entries, 49229 senses (CN-simp: 0, CN-trad: 0)...
Imported 39000 entries, 50615 senses (CN-simp: 0, CN-trad: 0)...
Imported 40000 entries, 51957 senses (CN-simp: 0, CN-trad: 0)...
Imported 41000 entries, 53368 senses (CN-simp: 0, CN-trad: 0)...
Imported 42000 entries, 54707 senses (CN-simp: 0, CN-trad: 0)...
Imported 43000 entries, 56060 senses (CN-simp: 0, CN-trad: 0)...
Imported 44000 entries, 57353 senses (CN-simp: 0, CN-trad: 0)...
Imported 45000 entries, 58708 senses (CN-simp: 0, CN-trad: 0)...
Imported 46000 entries, 59990 senses (CN-simp: 0, CN-trad: 0)...
Imported 47000 entries, 61287 senses (CN-simp: 0, CN-trad: 0)...
Imported 48000 entries, 62560 senses (CN-simp: 0, CN-trad: 0)...
Imported 49000 entries, 63830 senses (CN-simp: 0, CN-trad: 0)...
Imported 50000 entries, 65192 senses (CN-simp: 0, CN-trad: 0)...
Imported 51000 entries, 66467 senses (CN-simp: 0, CN-trad: 0)...
Imported 52000 entries, 67838 senses (CN-simp: 0, CN-trad: 0)...
Imported 53000 entries, 69127 senses (CN-simp: 0, CN-trad: 0)...
Imported 54000 entries, 70430 senses (CN-simp: 0, CN-trad: 0)...
Imported 55000 entries, 72008 senses (CN-simp: 0, CN-trad: 0)...
Imported 56000 entries, 73579 senses (CN-simp: 0, CN-trad: 0)...
Imported 57000 entries, 75231 senses (CN-simp: 0, CN-trad: 0)...
Imported 58000 entries, 76552 senses (CN-simp: 0, CN-trad: 0)...
Imported 59000 entries, 77728 senses (CN-simp: 0, CN-trad: 0)...
Imported 60000 entries, 79004 senses (CN-simp: 0, CN-trad: 0)...
