
======================================================================
🚀 AI Translation - OpenAI GPT-4o mini
======================================================================
Model: gpt-4o-mini
Target: Entries with ID <= 60000 (includes 行く, 見る, 飲む)
Database: data/dictionary_full_multilingual.sqlite
Pricing: $0.150/M input, $0.600/M output (6x cheaper than Claude!)
======================================================================

Found 64438 senses to translate

Estimated cost: $1.06
Estimated time: 64.4 minutes

Auto-confirmed with --yes flag

🔄 Starting translation...


Progress: 100/64438 (0%) | Rate: 5.1/s | ETA: 211.4min | Cost: $0.001
Progress: 200/64438 (0%) | Rate: 4.6/s | ETA: 232.5min | Cost: $0.002
Progress: 300/64438 (0%) | Rate: 4.4/s | ETA: 240.7min | Cost: $0.002
Progress: 400/64438 (0%) | Rate: 4.3/s | ETA: 245.8min | Cost: $0.003
Progress: 500/64438 (0%) | Rate: 4.2/s | ETA: 255.3min | Cost: $0.004
Progress: 600/64438 (0%) | Rate: 4.3/s | ETA: 246.7min | Cost: $0.004
Progress: 700/64438 (1%) | Rate: 4.6/s | ETA: 230.8min | Cost: $0.005
Progress: 800/64438 (1%) | Rate: 4.6/s | ETA: 228.3min | Cost: $0.006
Progress: 900/64438 (1%) | Rate: 4.8/s | ETA: 219.5min | Cost: $0.006
Progress: 1000/64438 (1%) | Rate: 4.9/s | ETA: 214.8min | Cost: $0.007
Progress: 1100/64438 (1%) | Rate: 4.5/s | ETA: 232.9min | Cost: $0.007
Progress: 1200/64438 (1%) | Rate: 4.6/s | ETA: 231.5min | Cost: $0.008
Progress: 1300/64438 (2%) | Rate: 4.6/s | ETA: 227.6min | Cost: $0.009
Progress: 1400/64438 (2%) | Rate: 4.6/s | ETA: 226.4min | Cost: $0.009
Progress: 1500/64438 (2%) | Rate: 4.8/s | ETA: 218.4min | Cost: $0.010
Progress: 1600/64438 (2%) | Rate: 5.0/s | ETA: 211.5min | Cost: $0.010
Progress: 1700/64438 (2%) | Rate: 5.0/s | ETA: 209.8min | Cost: $0.011
Progress: 1800/64438 (2%) | Rate: 5.0/s | ETA: 207.9min | Cost: $0.012
Progress: 1900/64438 (2%) | Rate: 5.0/s | ETA: 208.5min | Cost: $0.012
Progress: 2000/64438 (3%) | Rate: 5.0/s | ETA: 208.5min | Cost: $0.013
Progress: 2100/64438 (3%) | Rate: 5.0/s | ETA: 208.4min | Cost: $0.014
Progress: 2200/64438 (3%) | Rate: 5.1/s | ETA: 202.6min | Cost: $0.015
Progress: 2300/64438 (3%) | Rate: 5.1/s | ETA: 203.6min | Cost: $0.015
Progress: 2400/64438 (3%) | Rate: 5.1/s | ETA: 204.0min | Cost: $0.016
Progress: 2500/64438 (3%) | Rate: 5.1/s | ETA: 202.7min | Cost: $0.017
Progress: 2600/64438 (4%) | Rate: 5.1/s | ETA: 200.6min | Cost: $0.018
Progress: 2700/64438 (4%) | Rate: 5.2/s | ETA: 199.5min | Cost: $0.019
Progress: 2800/64438 (4%) | Rate: 5.2/s | ETA: 197.8min | Cost: $0.019
Progress: 2900/64438 (4%) | Rate: 5.1/s | ETA: 199.6min | Cost: $0.020
Progress: 3000/64438 (4%) | Rate: 5.2/s | ETA: 197.0min | Cost: $0.021
Progress: 3100/64438 (4%) | Rate: 5.1/s | ETA: 198.5min | Cost: $0.021
Progress: 3200/64438 (4%) | Rate: 5.2/s | ETA: 197.0min | Cost: $0.022
Progress: 3300/64438 (5%) | Rate: 5.2/s | ETA: 194.4min | Cost: $0.023
Progress: 3400/64438 (5%) | Rate: 5.2/s | ETA: 195.4min | Cost: $0.023
Progress: 3500/64438 (5%) | Rate: 5.2/s | ETA: 193.9min | Cost: $0.024
Progress: 3600/64438 (5%) | Rate: 5.3/s | ETA: 191.0min | Cost: $0.025
Progress: 3700/64438 (5%) | Rate: 5.3/s | ETA: 190.8min | Cost: $0.025
Progress: 3800/64438 (5%) | Rate: 5.3/s | ETA: 191.1min | Cost: $0.026
Progress: 3900/64438 (6%) | Rate: 5.3/s | ETA: 191.7min | Cost: $0.027
Progress: 4000/64438 (6%) | Rate: 5.2/s | ETA: 192.0min | Cost: $0.028
Progress: 4100/64438 (6%) | Rate: 5.2/s | ETA: 191.6min | Cost: $0.028
Progress: 4200/64438 (6%) | Rate: 5.3/s | ETA: 191.0min | Cost: $0.029
Progress: 4300/64438 (6%) | Rate: 5.2/s | ETA: 193.3min | Cost: $0.030
Progress: 4400/64438 (6%) | Rate: 5.2/s | ETA: 193.3min | Cost: $0.031
Progress: 4500/64438 (6%) | Rate: 5.2/s | ETA: 194.0min | Cost: $0.032
Progress: 4600/64438 (7%) | Rate: 5.1/s | ETA: 194.0min | Cost: $0.032
Progress: 4700/64438 (7%) | Rate: 5.1/s | ETA: 193.7min | Cost: $0.033
Progress: 4800/64438 (7%) | Rate: 5.1/s | ETA: 194.1min | Cost: $0.034
Progress: 4900/64438 (7%) | Rate: 5.1/s | ETA: 194.2min | Cost: $0.035
Progress: 5000/64438 (7%) | Rate: 5.1/s | ETA: 193.4min | Cost: $0.035
Progress: 5100/64438 (7%) | Rate: 5.1/s | ETA: 193.7min | Cost: $0.036
Progress: 5200/64438 (8%) | Rate: 5.1/s | ETA: 194.4min | Cost: $0.037
Progress: 5300/64438 (8%) | Rate: 5.0/s | ETA: 198.0min | Cost: $0.038
Progress: 5400/64438 (8%) | Rate: 5.0/s | ETA: 197.0min | Cost: $0.038
Progress: 5500/64438 (8%) | Rate: 5.0/s | ETA: 197.0min | Cost: $0.039
Progress: 5600/64438 (8%) | Rate: 5.0/s | ETA: 196.9min | Cost: $0.040
Progress: 5700/64438 (8%) | Rate: 4.9/s | ETA: 197.8min | Cost: $0.041
Progress: 5800/64438 (9%) | Rate: 5.0/s | ETA: 197.0min | Cost: $0.041
Progress: 5900/64438 (9%) | Rate: 5.0/s | ETA: 196.6min | Cost: $0.042
Progress: 6000/64438 (9%) | Rate: 5.0/s | ETA: 196.6min | Cost: $0.043
Progress: 6100/64438 (9%) | Rate: 4.9/s | ETA: 197.9min | Cost: $0.044
Progress: 6200/64438 (9%) | Rate: 4.8/s | ETA: 200.4min | Cost: $0.045
Progress: 6300/64438 (9%) | Rate: 4.8/s | ETA: 200.4min | Cost: $0.045
Progress: 6400/64438 (9%) | Rate: 4.8/s | ETA: 199.7min | Cost: $0.046
Progress: 6500/64438 (10%) | Rate: 4.8/s | ETA: 199.4min | Cost: $0.047
Progress: 6600/64438 (10%) | Rate: 4.8/s | ETA: 199.3min | Cost: $0.048
Progress: 6700/64438 (10%) | Rate: 4.9/s | ETA: 197.7min | Cost: $0.048
Progress: 6800/64438 (10%) | Rate: 4.8/s | ETA: 198.7min | Cost: $0.049
Progress: 6900/64438 (10%) | Rate: 4.8/s | ETA: 197.8min | Cost: $0.050
Progress: 7000/64438 (10%) | Rate: 4.8/s | ETA: 197.8min | Cost: $0.050
Progress: 7100/64438 (11%) | Rate: 4.8/s | ETA: 197.9min | Cost: $0.051
Progress: 7200/64438 (11%) | Rate: 4.8/s | ETA: 197.1min | Cost: $0.052
Progress: 7300/64438 (11%) | Rate: 4.8/s | ETA: 198.0min | Cost: $0.052
Progress: 7400/64438 (11%) | Rate: 4.8/s | ETA: 197.2min | Cost: $0.053
Progress: 7500/64438 (11%) | Rate: 4.8/s | ETA: 197.0min | Cost: $0.054
Progress: 7600/64438 (11%) | Rate: 4.8/s | ETA: 197.5min | Cost: $0.055
Progress: 7700/64438 (11%) | Rate: 4.8/s | ETA: 197.0min | Cost: $0.055
Progress: 7800/64438 (12%) | Rate: 4.8/s | ETA: 197.1min | Cost: $0.056
Progress: 7900/64438 (12%) | Rate: 4.8/s | ETA: 196.8min | Cost: $0.057
Progress: 8000/64438 (12%) | Rate: 4.8/s | ETA: 196.3min | Cost: $0.058
Progress: 8100/64438 (12%) | Rate: 4.8/s | ETA: 195.9min | Cost: $0.058
Progress: 8200/64438 (12%) | Rate: 4.8/s | ETA: 196.6min | Cost: $0.059
Progress: 8300/64438 (12%) | Rate: 4.8/s | ETA: 196.3min | Cost: $0.060
Progress: 8400/64438 (13%) | Rate: 4.8/s | ETA: 195.0min | Cost: $0.060
Progress: 8500/64438 (13%) | Rate: 4.8/s | ETA: 194.5min | Cost: $0.061
Progress: 8600/64438 (13%) | Rate: 4.8/s | ETA: 194.0min | Cost: $0.062
Progress: 8700/64438 (13%) | Rate: 4.8/s | ETA: 193.8min | Cost: $0.063
Progress: 8800/64438 (13%) | Rate: 4.8/s | ETA: 193.5min | Cost: $0.064
Progress: 8900/64438 (13%) | Rate: 4.8/s | ETA: 192.9min | Cost: $0.064
Progress: 9000/64438 (13%) | Rate: 4.8/s | ETA: 192.6min | Cost: $0.065
Progress: 9100/64438 (14%) | Rate: 4.8/s | ETA: 191.9min | Cost: $0.066
Progress: 9200/64438 (14%) | Rate: 4.8/s | ETA: 192.3min | Cost: $0.067
Progress: 9300/64438 (14%) | Rate: 4.8/s | ETA: 192.5min | Cost: $0.067
Progress: 9400/64438 (14%) | Rate: 4.8/s | ETA: 192.1min | Cost: $0.068
